Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
HM776941.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28580,2009,N
JN183882.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29243,14/07/2010,N
KP143507.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28984,01/01/2013,N
HQ462571.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28597,,N
HQ392469.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29233,22/01/2008,N
FJ938053.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29277,25/04/2007,N
FJ938054.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29269,02/02/2007,N
KU215423.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
FJ938055.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29285,24/05/2007,N
FJ938056.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29253,07/03/2007,N
FJ938057.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29275,13/07/2007,N
FJ938058.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28479,07/06/2007,N
FJ938059.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29295,05/06/2007,N
FJ938060.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29256,30/03/1993,N
FJ938061.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29130,10/03/1998,N
FJ938052.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29306,05/06/2007,N
FJ938062.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29266,24/05/2007,N
DQ201447.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28548,,N
NC_038861.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28586,,N
FJ755618.2,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28569,1973,N
KP981644.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29278,2005,N
KP202848.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28611,07/03/2013,N
DQ811785.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28542,,N
DQ811786.2,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,27904,1987,N
DQ811787.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,27550,,N
DQ811788.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28571,,N
DQ811789.2,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28544,1952,N
GQ152141.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28897,2007-09,N
FJ938051.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29232,28/01/2002,N
NC_028806.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28111,04/09/2009,N
KX499468.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28614,22/12/2015,N
HQ392470.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29255,23/08/2007,N
HQ392471.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29252,23/08/2007,N
HQ392472.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29233,22/01/2008,N
HQ012367.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29202,17/07/2007,N
HQ012368.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29252,24/07/2007,N
HQ012369.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,28429,11/09/2007,N
HQ012370.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29266,03/01/2008,N
KR270796.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,27765,24/07/2014,N
HQ012371.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29274,25/01/2008,N
HQ012372.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29216,11/09/2007,N
KC175339.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29270,1971,N
KU215425.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
GU553361.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29264,13/09/2007,N
KR061459.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28111,04/09/2009,N
KT696544.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28542,2012,N
KU215428.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
GU553362.1,Feliformia,Alphacoronavirus 1,Alphacoronavirus,29264,13/09/2007,N
KU215424.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29253,2013,N
GQ477367.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29363,2008-11,N
KU215426.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
KU215427.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29238,2013,N
MH938448.1,Pipistrellus kuhlii,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011,Alphacoronavirus,27862,2011,Y
MH938450.1,Pipistrellus kuhlii,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,Alphacoronavirus,28146,2010,Y
MH938449.1,Pipistrellus kuhlii,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,Alphacoronavirus,28128,2015,Y
NC_046964.1,Pipistrellus kuhlii,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,Alphacoronavirus,28128,2015,Y
MF113046.1,Mustela lutreola,Alphacoronavirus Mink/China/1/2016,Alphacoronavirus,28924,2016,N
MH687966.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28389,06/02/2015,Y
MH687965.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28115,13/02/2015,Y
MH687964.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28210,06/02/2015,Y
MH687963.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28169,06/02/2015,Y
MH687962.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,27752,13/11/2014,Y
MH687967.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,27726,06/02/2015,Y
MH687954.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28240,18/09/2014,Y
MH687960.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,27303,13/11/2014,Y
MH687934.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28249,11/06/2014,Y
MH687935.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,27757,17/06/2014,Y
MH687936.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28181,17/06/2014,Y
MH687961.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28168,13/11/2014,Y
MH687937.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28236,17/06/2014,Y
MH687938.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28349,17/06/2014,Y
MH687939.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28307,17/06/2014,Y
MH687940.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28170,10/06/2014,Y
MH687941.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28008,17/06/2014,Y
MH687942.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28321,17/06/2014,Y
MH687943.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28240,10/06/2014,Y
MH687945.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28235,16/09/2014,Y
MH687946.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28173,10/06/2014,Y
MH687948.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28255,11/06/2014,Y
MH687949.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28185,10/06/2014,Y
MH687944.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28219,10/06/2014,Y
MH687951.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28313,11/06/2014,Y
MH687952.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,27225,10/06/2014,Y
MH687959.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28169,12/11/2014,Y
MH687958.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28036,18/09/2014,Y
MH687957.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28173,18/09/2014,Y
MH687950.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28155,10/06/2014,Y
MH687956.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28050,16/09/2014,Y
MH687955.1,Scotophilus kuhlii,Alphacoronavirus sp.,Alphacoronavirus,28219,17/09/2014,Y
KX252791.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27683,1998,N
KX252772.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2003,N
KX236011.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009-12,N
KX236010.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27645,2010-04,N
KX236008.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27687,2013,N
KX236007.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27671,2010,N
KX236006.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2010,N
KX236005.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27657,2008,N
KX236004.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27688,2015,N
KX236009.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,2013-01,N
KX425847.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27709,2014,N
KX434789.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2014,N
KX236012.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,2009,N
KX640829.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27679,2011,N
KX372249.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2012,N
KX372250.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2013,N
KX236016.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27676,2009-09,N
KX259248.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2010,N
KX252789.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009,N
KX434788.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2013,N
KX434790.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2011,N
KX236003.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2011,N
KX259250.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2010,N
KX252790.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2009-05,N
KX236015.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,2014-07,N
KX236014.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2012,N
KX236013.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2012,N
KX259249.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009,N
KX236002.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2011,N
KX259254.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009,N
KX236000.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2011,N
KX400753.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27676,2011,N
KX302872.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2010,N
KX302871.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2013,N
KX302870.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2013,N
KX302869.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2009-08,N
KX302868.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27610,2013,N
KX302867.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27701,2015,N
KX302866.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27714,2004,N
KX302865.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2013,N
KX302864.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009-09,N
KX302863.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2009-03,N
KX302862.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,2010-11,N
KX302861.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2013,N
KX236001.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27631,2003,N
KX302860.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2008,N
KX275393.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2013-07,N
KX275392.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009-11,N
KX275391.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2014,N
KX275390.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27679,2014-11,N
KX259257.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,2012-08,N
KX259256.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2012-05,N
KX259255.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2011-11,N
KX259253.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27678,2012,N
KX259252.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2011,N
KX302873.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2014,N
KX259251.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2010,N
KX302874.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2013,N
KX302875.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2010-05,N
KX275394.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27688,2008,N
KX389094.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2012,N
MF508703.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27590,01/01/2013,N
KX375807.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2011,N
MK032178.1,Gallus,Avian coronavirus,Gammacoronavirus,27688,2017,N
MK032179.1,Gallus,Avian coronavirus,Gammacoronavirus,27678,2017,N
MK032180.1,Gallus,Avian coronavirus,Gammacoronavirus,27678,2017,N
MK032181.1,Gallus,Avian coronavirus,Gammacoronavirus,27681,2011,N
MH878976.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27467,22/02/2014,N
MF924724.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27623,11/12/2008,N
MF924725.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27626,,N
MK032177.1,Gallus,Avian coronavirus,Gammacoronavirus,27681,2017,N
MG517474.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27656,01/07/2016,N
MH779856.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27603,2014,N
MH779857.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27603,2015,N
MH779858.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27603,2016,N
MH779859.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27603,2016,N
MH779860.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27603,2014,N
MG197727.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27696,01/11/2016,N
MG233398.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2015,N
MH020185.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27688,18/10/2017,N
MG021194.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27552,1996,N
MH924835.1,Gallus,Avian coronavirus,Gammacoronavirus,27639,2016,N
MH539771.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27474,2016,N
MK423876.1,Phasianinae,Avian coronavirus,Gammacoronavirus,27655,2017,N
MK423877.1,Phasianinae,Avian coronavirus,Gammacoronavirus,27652,2017,N
MK574042.1,Gallus,Avian coronavirus,Gammacoronavirus,27686,2011,N
MK574043.1,Gallus,Avian coronavirus,Gammacoronavirus,27685,2011,N
MK937828.1,Gallus,Avian coronavirus,Gammacoronavirus,27475,2016,N
MK937829.1,Gallus,Avian coronavirus,Gammacoronavirus,27639,2017,N
MK937830.1,Gallus,Avian coronavirus,Gammacoronavirus,27485,,N
MH539772.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27474,2016,N
MK937831.1,Gallus,Avian coronavirus,Gammacoronavirus,27642,,N
MK937833.1,Gallus,Avian coronavirus,Gammacoronavirus,27642,2014,N
MK878536.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,10/01/2019,N
MK644086.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27600,2018,N
MK728875.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27455,2012-02,N
MH181793.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,2006,N
MG738154.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27669,2014,N
MG738155.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27660,2015,N
MK937832.1,Gallus,Avian coronavirus,Gammacoronavirus,27471,2013,N
KX375808.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27665,1999,N
MG913342.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2013,N
KX252773.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27667,2014-05,N
KX364290.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2010,N
KX364291.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2007,N
KX364292.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2011,N
KX364293.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,2007,N
KX364294.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2014,N
KX364295.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27688,2014-05,N
KX364296.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27655,2008,N
KY805846.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27663,2014,N
KX364297.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,2013-10,N
KX364299.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2010,N
KX364300.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2011,N
KY407556.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2014,N
KY407557.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27677,2014,N
KY620116.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2016,N
KX375805.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2007,N
KX375806.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2011,N
KX364298.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27678,2005,N
MG913343.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27605,2013,N
KY805845.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27631,2014,N
KU900743.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27683,2010,N
MG763935.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27631,2013,N
KY776700.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27623,,N
KY776701.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27620,2017,N
KY799582.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,,N
MG448607.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2012,N
KY421672.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27679,2012,N
KY421673.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27678,2013,N
KU900744.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2006,N
MF882923.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27705,2016-07,N
MF421319.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27647,2009,N
MF421320.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27634,2011,N
KU900738.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27679,2008,N
KU900739.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2003,N
KU900740.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2005,N
KU900741.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2009,N
KU900742.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27679,2011,N
KY933089.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27573,,N
KX252774.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2013,N
KX258195.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27615,2013,N
KX252776.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2013,N
KF853202.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27677,11/07/2008,N
KF663559.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27700,2012-06,N
KF663560.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27661,2007-11,N
KF663561.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27673,2011-04,N
KF668605.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27691,2009,N
KF411040.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27663,22/11/2011,N
KF411041.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27655,10/11/2009,N
KF574761.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27677,2012,N
KC008600.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27701,1985,N
KJ128295.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27666,20/12/2012,N
KC506155.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27648,10/10/2011,N
JX897900.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2009,N
KC013541.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27718,12/07/2012,N
KC119407.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27718,20/07/2012,N
JX840411.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2010-10,N
JX195176.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27683,03/11/2011,N
JX195177.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,1997,N
JX195178.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27693,2001,N
JQ977697.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27708,2008,N
JQ977698.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27622,1991,N
KC136209.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2011,N
JQ088078.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27664,2010,N
KJ135013.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27577,2011-10,N
KJ435285.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27643,28/12/2012,N
KJ425495.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,26/10/2012,N
KJ425496.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27606,25/05/2013,N
KJ425497.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27621,24/05/2013,N
